Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Year of build,Voyage Origin Port,Flag,Gross tonnage,Deadweight,Length,Breadth
2,Oil and Products Terminal,1.4,13.9,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.6,2005,SINES,Portugal,386 tons,162 tons,29 m,11 m
2,Oil and Products Terminal,46.5,46.9,Crude Oil Tanker,WET BULK,550.0,11.3,2012,ARZEW,Liberia,81299 tons,158491 tons,274 m,48 m
Container,Container Terminal XXI,14.9,15.4,Container Ship,CONTAINER SHIPS,1937.0,16.9,2005,NEMRUT,China,54271 tons,67529 tons,294 m,32 m
Container,Container Terminal XXI,7.7,8.0,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,4.9,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,0.6,0.7,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,10.1,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
7,Oil and Products Terminal,9.4,10.1,Oil Products Tanker,WET BULK,4.0,7.4,2007,SINES,Spain,4969 tons,6850 tons,99 m,18 m
6,Oil and Products Terminal,24.7,25.2,Oil/Chemical Tanker,WET BULK,151.0,9.1,2010,SETUBAL,Liberia,5581 tons,7304 tons,101 m,19 m
5,Oil and Products Terminal,16.2,16.7,Oil/Chemical Tanker,WET BULK,319.0,7.9,2007,ALGECIRAS,Malta,6953 tons,11674 tons,119 m,20 m
Container,Container Terminal XXI,5.7,5.9,Oil Products Tanker,WET BULK,42.0,10.1,2007,SETUBAL,Spain,4969 tons,6850 tons,99 m,18 m
4,Oil and Products Terminal,0.1,24.0,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,5.5,2009,SINES,Portugal,455 tons,304 tons,30 m,11 m
4,Oil and Products Terminal,0.9,24.1,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,4.8,2005,SINES ANCH,Portugal,386 tons,162 tons,29 m,11 m
4,Oil and Products Terminal,38.0,38.6,Crude Oil Tanker,WET BULK,5264.0,11.4,2007,SIKKA,Panama,56172 tons,105614 tons,237 m,42 m
Container,Container Terminal XXI,22.6,22.7,Container Ship,CONTAINER SHIPS,309.0,10.8,2005,CASABLANCA,Portugal,9981 tons,11798 tons,139 m,22 m
3,Oil and Products Terminal,0.2,1.0,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,4.5,2009,SINES,Portugal,455 tons,304 tons,30 m,11 m
3,Oil and Products Terminal,34.2,34.6,Oil/Chemical Tanker,WET BULK,286.0,11.0,2011,ALGECIRAS,France,23248 tons,37583 tons,184 m,27 m
Container,Container Terminal XXI,37.5,37.8,Container Ship,CONTAINER SHIPS,290.0,7.4,2013,ALGECIRAS,Denmark,194849 tons,213971 tons,399 m,59 m
5,Oil and Products Terminal,0.3,1.0,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,4.7,2009,SINES ANCH,Portugal,455 tons,304 tons,30 m,11 m
5,Oil and Products Terminal,17.4,17.9,Oil/Chemical Tanker,WET BULK,793.0,11.1,2008,PONTA DELGADA,Italy,17644 tons,25997 tons,169 m,25 m
Container,Container Terminal XXI,0.8,1.0,Fire Fighting Vessel,SUPPORTING VESSELS,6.0,5.5,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,34.6,34.8,Container Ship,CONTAINER SHIPS,1199.0,15.1,2015,ANTWERP,Panama,94469 tons,110699 tons,299 m,48 m
1B,Multi Purpose Terminal,31.8,32.3,General Cargo,DRY BREAKBULK,195.0,8.5,2010,HUELVA,Luxembourg,4723 tons,7594 tons,116 m,15 m
Container,Container Terminal XXI,1.0,30.1,Fire Fighting Vessel,SUPPORTING VESSELS,133.0,9.5,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,2.6,7.3,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,6.1,2010,SINES,Spain,428 tons,413 tons,31 m,11 m
Container,Container Terminal XXI,27.8,27.9,Container Ship,CONTAINER SHIPS,1046.0,15.3,2018,LE HAVRE,Portugal,113112 tons,134007 tons,330 m,48 m
3,Multi Purpose Terminal,59.4,59.9,General Cargo,DRY BREAKBULK,247.0,10.6,1997,VIANA DO CASTELO,Norway,2844 tons,4211 tons,89 m,13 m
