"Dock Timestamp","Undock Timestamp","Vessel Name","Berth Name","Terminal Name","Current Port","Current Port Ata","Destination Port","Load Condition At Arrival","Current Port Atd","Load Condition At Departure","Time At Berth","Time At Port","Vessel Type - Generic","Capacity - Dwt","Capacity - Gt",Built,"Current Port Unlocode","Port Operation",Mmsi,Imo,"Current Port Country","Draught At Arrival","Origin Port Unlocode","Origin Port Country","Commercial Market","Commercial Size Class","Capacity - Teu","Capacity - Liquid Gas","Voyage Distance Travelled","Voyage Speed Average","Voyage Speed Max","Voyage Idle Time","Voyage Origin Port Atd","Voyage Origin Port","Voyage Time Underway","Draught At Departure"
"2024-04-02 10:31:00","2024-04-02 10:33:00","CTE CELSO MADEIRA","Sines LNG","REN Atlantico Terminal LNG",SINES,"2024-04-02 10:24:00",,N/A,"2024-04-02 12:21:00",N/A,0.0,2.0,"Pilot Vessel",,,,PTSIE,NA,263441365,0,PT,0.0,PTSIE,PT,"SUPPORTING VESSELS",,,,6,13.3,20.3,0.0,"2024-04-02 10:01:00",SINES,0.4,0.0
"2024-04-02 10:13:00","2024-04-02 11:33:00",GOLIAS,1A,"Multi Purpose Terminal",SINES,"2024-04-02 00:32:00",,N/A,,,1.3,,Tug,,,,PTSIE,,263602573,0,PT,0.0,PTSIE,PT,"OTHER MARKETS",,,,1,5.4,5.4,0.0,"2024-04-02 00:25:00",SINES,0.1,
"2024-04-02 10:09:00","2024-04-02 11:31:00","CASTELO DE SAO JORGE","Sines LNG","REN Atlantico Terminal LNG",SINES,"2024-04-01 11:18:00",,N/A,"2024-04-02 12:26:00",N/A,1.4,25.1,"Fire Fighting Vessel",162,386,2005,PTSIE,NA,263625000,9319179,PT,6.5,PTSIE,PT,"SUPPORTING VESSELS",,,,2,5.3,6.6,0.0,"2024-04-01 11:03:00",SINES,0.3,6.5
"2024-04-02 09:48:00","2024-04-02 09:58:00","CTE CELSO MADEIRA",Container,"Container Terminal XXI",SINES,"2024-04-02 09:32:00",SINES,N/A,"2024-04-02 10:01:00",N/A,0.2,0.5,"Pilot Vessel",,,,PTSIE,NA,263441365,0,PT,0.0,PTSIE,PT,"SUPPORTING VESSELS",,,,3,16.8,18.3,0.0,"2024-04-02 09:24:00",SINES,0.1,0.0
"2024-04-02 05:24:00","2024-04-02 09:59:00","MED ANTARES",Container,"Container Terminal XXI",SINES,"2024-04-02 05:08:00",SINES,N/A,"2024-04-02 10:01:00",N/A,4.6,4.9,Tug,156,,2019,PTSIE,NA,255806406,9803821,PT,6.0,PTSIE,PT,"SUPPORTING VESSELS",,,,3,5.2,6.5,0.1,"2024-04-02 04:35:00",SINES,0.6,6.0
"2024-04-02 05:23:00","2024-04-02 21:04:00","MSC FABIENNE",Container,"Container Terminal XXI",SINES,"2024-04-02 05:08:00",,"Partially Laden","2024-04-02 21:06:00","In ballast",15.7,16.0,"Container Ship",66694,54774,2004,PTSIE,NONE,354415000,9279965,PT,9.8,TRNEM,TR,"CONTAINER SHIPS",PANAMAX,4862,,1908,14.5,16.8,0.1,"2024-03-27 17:34:00",NEMRUT,131.6,9.1
"2024-04-02 05:18:00","2024-04-02 09:59:00","VB LUSITANIA",Container,"Container Terminal XXI",SINES,"2024-04-02 05:06:00",SINES,N/A,"2024-04-02 10:15:00",N/A,4.7,5.2,Tug,,359,2024,PTSIE,NA,255915750,9998200,PT,5.7,PTSIE,PT,"SUPPORTING VESSELS",,,,3,6.0,6.1,0.1,"2024-04-02 04:36:00",SINES,0.5,5.7
"2024-04-02 03:33:00","2024-04-02 04:30:00","CTE CELSO MADEIRA",Container,"Container Terminal XXI",SINES,"2024-04-02 03:31:00",SINES,N/A,"2024-04-02 04:31:00",N/A,1.0,1.0,"Pilot Vessel",,,,PTSIE,NA,263441365,0,PT,0.0,PTSIE,PT,"SUPPORTING VESSELS",,,,3,12.5,14.0,0.0,"2024-04-02 03:19:00",SINES,0.2,0.0
"2024-04-02 02:50:00","2024-04-02 03:13:00","CTE CELSO MADEIRA",7,"Oil and Products Terminal",SINES,"2024-04-02 00:16:00",SINES,N/A,"2024-04-02 03:19:00",N/A,0.4,3.1,"Pilot Vessel",,,,PTSIE,NA,263441365,0,PT,0.0,PTSIE,PT,"SUPPORTING VESSELS",,,,3,12.4,16.2,0.0,"2024-04-02 00:03:00",SINES,0.2,0.0
"2024-04-02 01:00:00","2024-04-02 01:31:00",GOLIAS,1A,"Multi Purpose Terminal",SINES,"2024-04-02 00:32:00",,N/A,,,0.5,,Tug,,,,PTSIE,,263602573,0,PT,0.0,PTSIE,PT,"OTHER MARKETS",,,,1,5.4,5.4,0.0,"2024-04-02 00:25:00",SINES,0.1,
