Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Year of build,Voyage Origin Port,Flag,Gross tonnage,Deadweight,Length,Breadth
4,2,0.09531017980432493,3.742420221041966,5,6,3.0,5.7,2005,106,27,130,112,77,0
11,0,2.0794415416798357,2.0918640616783932,5,6,3.0,9.6,2010,105,32,145,195,89,0
9,2,2.833213344056216,2.8622008809294686,11,4,248.0,10.4,2006,63,7,104,153,114,4
6,2,3.3141860046725258,3.3357695763397,15,7,816.0,9.5,2007,82,15,24,128,26,12
11,0,-0.6931471805599453,-0.2231435513142097,5,6,7.0,6.7,2010,105,32,145,195,89,0
11,0,2.9856819377004897,2.995732273553991,3,0,397.0,9.8,2013,2,26,261,41,85,30
8,2,3.1135153092103742,4.131961425793407,14,7,4.0,6.1,2007,101,32,156,274,116,7
6,2,-1.2039728043259361,3.6027767550605247,17,6,3.0,6.3,1995,105,27,79,77,67,36
6,2,2.917770732084279,2.9391619220655967,15,7,335.0,10.1,2008,63,15,43,141,32,14
6,2,-0.6931471805599453,0.8329091229351039,17,6,3.0,5.3,1995,64,27,79,77,67,36
5,2,-0.35667494393873245,0.8329091229351039,17,6,3.0,5.3,1995,64,27,79,77,67,36
5,2,3.4719664525503626,3.484312288372662,14,7,6.0,5.4,2005,6,10,52,161,36,17
4,2,0.09531017980432493,2.975529566236472,5,6,3.0,6.0,2010,105,32,145,195,89,0
4,2,3.6686767467964168,3.6888794541139363,14,7,4116.0,11.4,2012,84,22,37,156,99,34
4,2,0.9162907318741551,1.1631508098056809,17,6,3.0,5.5,1995,105,27,79,77,67,36
4,2,0.7419373447293773,3.742420221041966,5,6,3.0,5.7,2005,106,27,130,112,77,0
11,0,-1.6094379124341003,-0.6931471805599453,17,6,4.0,8.5,1991,105,27,119,69,91,0
11,0,3.563882963939251,3.572345637857985,3,0,336.0,13.9,1992,120,26,111,152,46,20
3,1,3.039749158970765,4.131961425793407,14,7,4.0,6.1,2007,101,32,156,274,116,7
12,4,-0.6931471805599453,3.1570004211501135,17,6,4.0,6.0,1995,105,27,79,77,67,36
12,4,-0.916290731874155,2.8622008809294686,5,6,3.0,10.1,2005,105,27,130,112,77,0
