Berth Name,Terminal Name,Time At Berth,Time At Port,Vessel Type - Generic,Commercial Market,Voyage Distance Travelled,Voyage Speed Average,Imo,Voyage Origin Port
Container,Container Terminal XXI,0.6,0.8,Tug,SUPPORTING VESSELS,3.0,6.3,9803821,SINES
Sines LNG,REN Atlantico Terminal LNG,1.8,24.0,Tug,SUPPORTING VESSELS,4.0,5.4,7626085,SINES
Sines LNG,REN Atlantico Terminal LNG,0.6,23.8,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,4.7,9319179,SINES ANCH
Sines LNG,REN Atlantico Terminal LNG,26.8,27.6,LNG Tanker,LNG CARRIERS,4609.0,14.7,9246578,INGLESIDE
Container,Container Terminal XXI,0.5,0.9,Fire Fighting Vessel,SUPPORTING VESSELS,4.0,6.1,9525443,SINES
Container,Container Terminal XXI,0.5,0.7,Tug,SUPPORTING VESSELS,4.0,6.4,9803821,SINES
Container,Container Terminal XXI,21.2,21.3,Container Ship,CONTAINER SHIPS,812.0,17.6,9540077,BARCELONA
1B,Multi Purpose Terminal,24.7,25.0,General Cargo,DRY BREAKBULK,255.0,9.9,9545039,VIANA DO CASTELO
Container,Container Terminal XXI,4.1,14.3,Tug,SUPPORTING VESSELS,4.0,6.9,9803821,SINES
5,Oil and Products Terminal,0.3,12.9,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,4.9,9319179,SINES
5,Oil and Products Terminal,0.5,12.8,Fire Fighting Vessel,SUPPORTING VESSELS,2.0,5.3,9503512,SINES
5,Oil and Products Terminal,24.5,24.9,Oil/Chemical Tanker,WET BULK,283.0,10.4,9694361,ALGECIRAS
Container,Container Terminal XXI,8.2,8.6,Oil/Chemical Tanker,WET BULK,5.0,6.4,9555084,LEIXOES
5,Oil and Products Terminal,0.8,3.4,Fire Fighting Vessel,SUPPORTING VESSELS,3.0,5.9,9319179,SINES
